Num params:  62437601
cuda 68
Epoch 214 2024-05-09 17:58:27.236545 | step 000 Loss: 0.06363797932863235 
Epoch 215 2024-05-09 17:58:53.038776 | step 000 Loss: 0.06379719078540802 
Epoch 216 2024-05-09 17:59:18.837851 | step 000 Loss: 0.06427687406539917 
Epoch 217 2024-05-09 17:59:44.636626 | step 000 Loss: 0.0641469731926918 
Epoch 218 2024-05-09 18:00:10.440048 | step 000 Loss: 0.061887115240097046 
Epoch 219 2024-05-09 18:00:36.243872 | step 000 Loss: 0.06367886811494827 
Epoch 220 2024-05-09 18:01:02.045622 | step 000 Loss: 0.06282626837491989 
Epoch 221 2024-05-09 18:01:27.852780 | step 000 Loss: 0.06180238723754883 
Epoch 222 2024-05-09 18:01:53.655391 | step 000 Loss: 0.06257016211748123 
Epoch 223 2024-05-09 18:02:19.457978 | step 000 Loss: 0.06387835741043091 
Epoch 224 2024-05-09 18:02:45.267543 | step 000 Loss: 0.06241677701473236 
Epoch 225 2024-05-09 18:03:11.075195 | step 000 Loss: 0.06449748575687408 
Epoch 226 2024-05-09 18:03:36.881922 | step 000 Loss: 0.0632459744811058 
Epoch 227 2024-05-09 18:04:02.685798 | step 000 Loss: 0.0631343275308609 
Epoch 228 2024-05-09 18:04:28.490865 | step 000 Loss: 0.06221099942922592 
Epoch 229 2024-05-09 18:04:54.289374 | step 000 Loss: 0.06120085343718529 
Epoch 230 2024-05-09 18:05:20.096742 | step 000 Loss: 0.061413224786520004 
Epoch 231 2024-05-09 18:05:45.902583 | step 000 Loss: 0.06544710695743561 
Epoch 232 2024-05-09 18:06:11.706910 | step 000 Loss: 0.06322506070137024 
Epoch 233 2024-05-09 18:06:37.516090 | step 000 Loss: 0.06214506924152374 
Epoch 234 2024-05-09 18:07:03.321347 | step 000 Loss: 0.061594121158123016 
Epoch 235 2024-05-09 18:07:29.131624 | step 000 Loss: 0.06151966005563736 
Epoch 236 2024-05-09 18:07:54.933995 | step 000 Loss: 0.06216530501842499 
Epoch 237 2024-05-09 18:08:20.738373 | step 000 Loss: 0.06603759527206421 
Epoch 238 2024-05-09 18:08:46.549034 | step 000 Loss: 0.06530651450157166 
Epoch 239 2024-05-09 18:09:12.359391 | step 000 Loss: 0.06296385824680328 
Epoch 240 2024-05-09 18:09:38.166994 | step 000 Loss: 0.06302693486213684 
Epoch 241 2024-05-09 18:10:03.978353 | step 000 Loss: 0.06203639507293701 
Epoch 242 2024-05-09 18:10:29.785419 | step 000 Loss: 0.06482399255037308 
Epoch 243 2024-05-09 18:10:55.586339 | step 000 Loss: 0.06373853981494904 
Epoch 244 2024-05-09 18:11:21.393603 | step 000 Loss: 0.0630481019616127 
Epoch 245 2024-05-09 18:11:47.202513 | step 000 Loss: 0.06301174312829971 
Epoch 246 2024-05-09 18:12:13.007395 | step 000 Loss: 0.06411438435316086 
Epoch 247 2024-05-09 18:12:38.814764 | step 000 Loss: 0.06260095536708832 
Epoch 248 2024-05-09 18:13:04.625711 | step 000 Loss: 0.062440067529678345 
Epoch 249 2024-05-09 18:13:30.434124 | step 000 Loss: 0.06350450217723846 
Epoch 250 2024-05-09 18:13:56.241126 | step 000 Loss: 0.060704831033945084 
Epoch 251 2024-05-09 18:14:22.048529 | step 000 Loss: 0.06228828430175781 
Epoch 252 2024-05-09 18:14:47.848287 | step 000 Loss: 0.06320801377296448 
Epoch 253 2024-05-09 18:15:13.655104 | step 000 Loss: 0.06306315958499908 
Epoch 254 2024-05-09 18:15:39.461066 | step 000 Loss: 0.06532685458660126 
Epoch 255 2024-05-09 18:16:05.259547 | step 000 Loss: 0.0637502372264862 
Epoch 256 2024-05-09 18:16:31.055324 | step 000 Loss: 0.0635044127702713 
Epoch 257 2024-05-09 18:16:56.852313 | step 000 Loss: 0.0629831999540329 
